Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded, Spec1Combined, Spec2Combined, CodeCombined
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,,,,,1,,1,
__LDSO_PRELINK_SUPPORT__ => __LDSO_STANDALONE_SUPPORT__,,,,,,,,,,,,,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_LOCALE__,1,,1,1,1,,,,1,1,,1,
__UCLIBC_FORMAT_DSBT_ELF__ => __DOPIC__,,,,,,,,,,,,,
__UCLIBC_HAS_RESOLVER_SUPPORT__ => __UCLIBC_HAS_COMPAT_RES_STATE__,,,1,,1,,,,1,1,,1,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ => __UCLIBC_PREGENERATED_LOCALE_DATA__,,,,,,,,,,,,,
__UCLIBC_BUILD_PIE__ => __HAVE_SHARED__,,,,,,,,,,,,,
__HAVE_SHARED__ => ! (__ARCH_HAS_NO_SHARED__),,,,,,,,,,,,,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,,,,
__UCLIBC_HAS_GLIBC_CUSTOM_PRINTF__ => ! (__USE_OLD_VFPRINTF__),,,,,,,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ =>  __UCLIBC_HAS_CRYPT__,,,,,,1,1,1,1,,1,1,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_SOCKET__,,,,1,1,,,,1,1,,1,
__SUPPORT_LD_DEBUG__ => __HAVE_SHARED__,,,,,,,,,,,,,
