in individual
Mutex Edge, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Model,Parsing Errors Model,
__FORCE_SHAREABLE_TEXT_SEGMENTS__ -- __TARGET_e1__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_i386__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __LDSO_STANDALONE_SUPPORT__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_CYRIXIII__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_MIPS_N64_ABI__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_SH3__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __CONFIG_SH5__,0,0,0,0,0,
__CONFIG_H8300H__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__TARGET_sparc__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32__ -- __TARGET_powerpc__,0,0,0,0,0,
__LDSO_SEARCH_INTERP_PATH__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_GENERIC_C6X__,0,0,0,0,0,
__ARCH_HAS_NO_SHARED__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_K6__,0,0,0,0,0,
__TARGET_i386__ -- __TARGET_vax__,0,0,0,0,0,
__TARGET_mips__ -- __TARGET_nios__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_SHA256_CRYPT_IMPL__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_avr32__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__DODEBUG_PT__ -- __HAS_NO_THREADS__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_MIPS_ISA_4__,0,0,0,0,0,
__TARGET_ia64__ -- __UCLIBC_STATIC_LDCONFIG__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __TARGET_h8300__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ -- __TARGET_nios__,0,0,0,0,0,
__CONFIG_PENTIUM4__ -- __CONFIG_SPARC_V8__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __LINKRELAX__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __CONFIG_E500__,0,0,0,0,0,
__TARGET_frv__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __TARGET_cris__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_BUFSIZ_NONE__ -- __UCLIBC_HAS_XLOCALE__,1,0,0,0,1,
__CONFIG_586MMX__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_E500__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __LDSO_NO_CLEANUP__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_E500__,0,0,0,0,0,
__TARGET_hppa__ -- __UCLIBC_HAS_THREADS__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_MIPS_N64_ABI__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __CONFIG_MIPS_N64_ABI__,0,0,0,0,0,
__TARGET_c6x__ -- __TARGET_sh__,0,0,0,1,0,
__CONFIG_CLASSIC__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__TARGET_cris__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_e1__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_FORMAT_FLAT_SEP_DATA__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __TARGET_c6x__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __CONFIG_K6__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_486__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_SH2A__ -- __CONFIG_SPARC_V9__,0,0,0,0,0,
__TARGET_ia64__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__TARGET_h8300__ -- __TARGET_mips__,0,0,0,0,0,
__CONFIG_CRIS__ -- __TARGET_c6x__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __TARGET_avr32__,0,0,0,0,0,
__TARGET_i960__ -- __TARGET_powerpc__,0,0,0,0,0,
__TARGET_hppa__ -- __UCLIBC_HAS_THREADS_NATIVE__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_TMS320C64X__ -- __MALLOC_STANDARD__,0,0,0,0,0,
__CONFIG_SH5__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_686__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_SH5__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__TARGET_sh__ -- __TARGET_vax__,0,0,0,0,0,
__TARGET_nios2__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_CYRIXIII__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_K7__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_SH4__,0,0,0,0,0,
__ARCH_HAS_MMU__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_SH3__ -- __TARGET_i386__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __LINKRELAX__,0,0,0,0,0,
__CONFIG_386__ -- __CONFIG_H8S__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__CONFIG_SH2__ -- __TARGET_nios2__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ -- __TARGET_ia64__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __TARGET_bfin__,0,0,0,0,0,
__CONFIG_PENTIUM4__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __USE_BX__,0,0,0,0,0,
__TARGET_vax__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__LDSO_PRELOAD_ENV_SUPPORT__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __TARGET_i960__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_GNU_GETSUBOPT__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_H8300H__ -- __TARGET_bfin__,0,0,0,0,0,
__TARGET_hppa__ -- __UCLIBC_STATIC_LDCONFIG__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_cris__,0,0,0,0,0,
__TARGET_e1__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_H8300H__ -- __UCLIBC_STATIC_LDCONFIG__,0,0,0,0,0,
__LDSO_STANDALONE_SUPPORT__ -- __UCLIBC_FORMAT_SHARED_FLAT__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_sh64__,0,0,0,0,0,
__ARCH_HAS_MMU__ -- __CONFIG_TMS320C64X__,0,0,0,0,0,
__CONFIG_H8S__ -- __LDSO_GNU_HASH_SUPPORT__,0,0,0,0,0,
__MALLOC_STANDARD__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__TARGET_i386__ -- __TARGET_mips__,0,0,0,0,0,
__CONFIG_H8300H__ -- __LDSO_GNU_HASH_SUPPORT__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __CONFIG_486__,0,0,0,0,0,
__CONFIG_486__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_SH2__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ -- __TARGET_sh64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_nios__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __TARGET_sh64__,0,0,0,0,0,
__TARGET_hppa__ -- __UCLIBC_HAS_SSP_COMPAT__,0,0,0,0,0,
__DODEBUG_PT__ -- __UCLIBC_HAS_STDIO_FUTEXES__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_MIPS_ISA_MIPS32R2__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ -- __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__CONFIG_486__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__TARGET_cris__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_MIPS_O32_ABI__,0,0,0,0,0,
__ARCH_ANY_ENDIAN__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_x86_64__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__TARGET_bfin__ -- __TARGET_i960__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __CONFIG_AVR32_AP7__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_SH2__ -- __SUPPORT_LD_DEBUG_EARLY__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_arm__,0,0,0,0,0,
__CONFIG_H8S__ -- __TARGET_v850__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __CONFIG_MIPS_N32_ABI__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_SH2A__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __CONFIG_PENTIUMIII__,0,0,0,0,0,
__CONFIG_586__ -- __TARGET_i960__,0,0,0,0,0,
__UCLIBC_FORMAT_DSBT_ELF__ -- __UCLIBC_FORMAT_FLAT__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __TARGET_cris__,0,0,0,0,0,
__TARGET_avr32__ -- __TARGET_nios__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_SH2__,0,0,0,0,0,
__CONFIG_SH2A__ -- __TARGET_sh64__,0,0,0,0,0,
__CONFIG_SH3__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__CONFIG_H8S__ -- __TARGET_vax__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __TARGET_hppa__,0,0,0,0,0,
__TARGET_alpha__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_c6x__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_MIPS_ISA_MIPS32R2__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_E500__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__TARGET_h8300__ -- __TARGET_x86_64__,0,0,0,0,0,
__HAS_NO_THREADS__ -- __UCLIBC_HAS_TLS__,0,0,0,0,0,
__TARGET_alpha__ -- __TARGET_cris__,0,0,0,0,0,
__TARGET_c6x__ -- __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__CONFIG_E500__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_K6__ -- __TARGET_m68k__,0,0,0,0,0,
__TARGET_sh64__ -- __TARGET_v850__,0,0,0,0,0,
__HAVE_SHARED__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_CRIS__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __TARGET_arm__,0,0,0,0,0,
__CONFIG_H8300H__ -- __FORCE_SHAREABLE_TEXT_SEGMENTS__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __CONFIG_PENTIUMIII__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__MALLOC_STANDARD__ -- __UCLIBC_FORMAT_SHARED_FLAT__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_SH5__ -- __TARGET_mips__,0,0,0,0,0,
__TARGET_i386__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_586__ -- __TARGET_powerpc__,0,0,0,0,0,
__LDSO_PRELINK_SUPPORT__ -- __TARGET_h8300__,0,0,0,0,0,
__HAVE_NO_SSP__ -- __TARGET_h8300__,0,0,0,0,0,
__LDSO_PRELINK_SUPPORT__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_CRIS__ -- __TARGET_avr32__,0,0,0,0,0,
__TARGET_x86_64__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __CONFIG_SH4__,0,0,0,0,0,
__UCLIBC_FORMAT_DSBT_ELF__ -- __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __LDSO_RUNPATH__,0,0,0,0,0,
__TARGET_vax__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_K7__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_SPARC_V8__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_686__ -- __TARGET_v850__,0,0,0,0,0,
__TARGET_ia64__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_PENTIUM4__ -- __TARGET_mips__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_SH2A__ -- __TARGET_bfin__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_GENERIC_386__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_MIPS_O32_ABI__,0,0,0,0,0,
__TARGET_h8300__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_SH3__,0,0,0,0,0,
__CONFIG_SH2__ -- __USE_BX__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_MIPS_N32_ABI__,0,0,0,0,0,
__LDSO_SEARCH_INTERP_PATH__ -- __TARGET_vax__,0,0,0,0,0,
__TARGET_c6x__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __CONFIG_MIPS_ISA_MIPS32__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ -- __CONFIG_CRIS__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_CRIS__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_486__ -- __TARGET_microblaze__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_arm__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_TMS320C64X__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_MIPS_ISA_MIPS32__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__RUNTIME_PREFIX__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_486__ -- __CONFIG_K6__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__CONFIG_SH2A__ -- __TARGET_sparc__,0,0,0,0,0,
__LDSO_STANDALONE_SUPPORT__ -- __TARGET_nios__,0,0,0,0,0,
__CONFIG_SH4__ -- __TARGET_frv__,0,0,0,0,0,
__CONFIG_686__ -- __TARGET_hppa__,0,0,0,0,0,
__CONFIG_486__ -- __TARGET_arm__,0,0,0,0,0,
__CONFIG_SH2A__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __TARGET_cris__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ -- __CONFIG_K7__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __CONFIG_SH2A__,0,0,0,0,0,
__COMPAT_ATEXIT__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_ELAN__ -- __TARGET_xtensa__,0,0,0,0,0,
__SUPPORT_LD_DEBUG_EARLY__ -- __TARGET_v850__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __TARGET_vax__,0,0,0,0,0,
__TARGET_sh64__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_H8300H__ -- __LDSO_LDD_SUPPORT__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __CONFIG_486__,0,0,0,0,0,
__HAVE_SHARED__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __TARGET_microblaze__,0,0,0,0,0,
__MALLOC_STANDARD__ -- __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __CONFIG_SPARC_V8__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __CONFIG_SH2__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_GETTEXT_AWARENESS__,0,0,0,0,0,
__CONFIG_K6__ -- __USE_BX__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ -- __CONFIG_486__,0,0,0,0,0,
__CONFIG_SH5__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_CRUSOE__,0,0,0,0,0,
__CONFIG_E500__ -- __CONFIG_K6__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __CONFIG_SH4__,0,0,0,0,0,
__CONFIG_SH2A__ -- __CONFIG_SPARC_V7__,0,0,0,0,0,
__TARGET_sparc__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __CONFIG_SH3__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_STDIO_BUFSIZ_2048__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__TARGET_bfin__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__UCLIBC_BUILD_ALL_LOCALE__ -- __UCLIBC_BUILD_MINIMAL_LOCALE__,0,0,0,0,0,
__ARCH_LITTLE_ENDIAN__ -- __CONFIG_SPARC_V8__,0,0,0,0,0,
__LDSO_GNU_HASH_SUPPORT__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_TMS320C64X__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__CONFIG_H8S__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_WINCHIP2__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_586MMX__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __CONFIG_SH2A__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_CRUSOE__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __CONFIG_PENTIUMIII__,0,0,0,0,0,
__ARCH_ANY_ENDIAN__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_GENERIC_C6X__,0,0,0,0,0,
__LDSO_PRELINK_SUPPORT__ -- __TARGET_i960__,0,0,0,0,0,
__TARGET_i386__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__CONFIG_H8300H__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_NEHEMIAH__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__LDSO_RUNPATH__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_CRIS__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __CONFIG_SH2A__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __CONFIG_MIPS_ISA_1__,0,0,0,0,0,
__CONFIG_CRIS__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_H8300H__,0,0,0,0,0,
__TARGET_alpha__ -- __TARGET_h8300__,0,0,0,0,0,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_MIPS_N32_ABI__,0,0,0,0,0,
__CONFIG_E500__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_H8300H__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__DODEBUG_PT__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__TARGET_hppa__ -- __UCLIBC_BUILD_RELRO__,0,0,0,0,0,
__CONFIG_H8S__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __TARGET_alpha__,0,0,0,0,0,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ -- __USE_OLD_VFPRINTF__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_MIPS_ISA_MIPS32__,0,0,0,0,0,
__CONFIG_486__ -- __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_H8300H__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__TARGET_c6x__ -- __TARGET_microblaze__,0,0,0,0,0,
__TARGET_i960__ -- __UCLIBC_HAS_TLS__,0,0,0,0,0,
__TARGET_sh64__ -- __TARGET_xtensa__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __TARGET_powerpc__,0,0,0,0,0,
__SUPPORT_LD_DEBUG__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ -- __USE_BX__,0,0,0,0,0,
__TARGET_avr32__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__ARCH_HAS_NO_SHARED__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_K7__,0,0,0,0,0,
__TARGET_i960__ -- __TARGET_sparc__,0,0,0,0,0,
