in individual
Mutex Edge, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Model,Parsing Errors Model,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_m68k__,0,0,0,0,0,
__HAVE_NO_SSP__ -- __UCLIBC_HAS_TLS__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_v850__,0,0,0,0,0,
__TARGET_powerpc__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_NEHEMIAH__,0,0,0,0,0,
__CONFIG_486__ -- __TARGET_sh64__,0,0,0,0,0,
__CONFIG_SH2__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__TARGET_alpha__ -- __UCLIBC_BUILD_RELRO__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __CONFIG_SH5__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __CONFIG_TMS320C64X__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __TARGET_ia64__,0,0,0,0,0,
__ARCH_HAS_NO_SHARED__ -- __SUPPORT_LD_DEBUG__,0,0,0,1,0,
__CONFIG_ELAN__ -- __CONFIG_MIPS_N64_ABI__,0,0,0,0,0,
__CONFIG_SH3__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__CONFIG_386__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ -- __TARGET_vax__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __TARGET_i386__,0,0,0,0,0,
__LDSO_STANDALONE_SUPPORT__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __TARGET_nios2__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_ELAN__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_i386__,0,0,0,0,0,
__TARGET_nios2__ -- __UCLIBC_HAS_BACKTRACE__,0,0,0,0,0,
__CONFIG_H8S__ -- __CONFIG_SH4__,0,0,0,0,0,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_NEHEMIAH__,0,0,0,0,0,
__UCLIBC_FORMAT_FDPIC_ELF__ -- __UCLIBC_FORMAT_FLAT__,0,0,0,0,0,
__TARGET_nios__ -- __TARGET_x86_64__,0,0,0,0,0,
__FORCE_SHAREABLE_TEXT_SEGMENTS__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_SH3__ -- __TARGET_c6x__,0,0,0,0,0,
__CONFIG_SH2__ -- __SUPPORT_LD_DEBUG__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__TARGET_bfin__ -- __TARGET_powerpc__,0,0,0,0,0,
__CONFIG_SH4__ -- __TARGET_nios2__,0,0,0,0,0,
__ARCH_LITTLE_ENDIAN__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__CONFIG_386__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__TARGET_avr32__ -- __TARGET_powerpc__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __COMPILE_IN_THUMB_MODE__,0,0,0,0,0,
__TARGET_alpha__ -- __UCLIBC_FORMAT_FDPIC_ELF__,0,0,0,0,0,
__TARGET_h8300__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__CONFIG_SH3__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__CONFIG_386__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__TARGET_e1__ -- __TARGET_vax__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_H8300H__,0,0,0,0,0,
__CONFIG_K6__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__LDSO_STANDALONE_SUPPORT__ -- __UCLIBC_FORMAT_FLAT_SEP_DATA__,0,0,0,0,0,
__CONFIG_MIPS_ISA_2__ -- __LINKRELAX__,0,0,0,0,0,
__CONFIG_SH2A__ -- __TARGET_h8300__,0,0,0,0,0,
__ARCH_WANTS_BIG_ENDIAN__ -- __TARGET_alpha__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_avr32__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __CONFIG_PENTIUMIII__,0,0,0,0,0,
__LINKRELAX__ -- __TARGET_mips__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_i960__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __TARGET_x86_64__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __TARGET_cris__,0,0,0,0,0,
__TARGET_vax__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __TARGET_c6x__,0,0,0,0,0,
__LDSO_PRELOAD_ENV_SUPPORT__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__DOPIC__ -- __TARGET_v850__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __CONFIG_686__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__CONFIG_H8300H__ -- __UCLIBC_BUILD_RELRO__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_PENTIUMIII__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __CONFIG_SH2A__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ -- __CONFIG_SH5__,0,0,0,0,0,
__CONFIG_CRUSOE__ -- __TARGET_cris__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_K7__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_K7__ -- __USE_BX__,0,0,0,0,0,
__TARGET_sh64__ -- __UCLIBC_BUILD_PIE__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __TARGET_nios__,0,0,0,0,0,
__CONFIG_WINCHIP2__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_PENTIUM4__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32R2__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__CONFIG_E500__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ -- __TARGET_i386__,0,0,0,0,0,
__TARGET_c6x__ -- __TARGET_i960__,0,0,0,0,0,
__CONFIG_NEHEMIAH__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ -- __TARGET_sparc__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_SH2__,0,0,0,0,0,
__UCLIBC_BUILD_ALL_LOCALE__ -- __UCLIBC_HAS_STDIO_BUFSIZ_NONE__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __TARGET_e1__,0,0,0,0,0,
__HAVE_NO_SSP__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_686__ -- __TARGET_nios__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_WCHAR__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_ia64__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __CONFIG_PENTIUM4__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__CONFIG_H8300H__ -- __CONFIG_SH5__,0,0,0,0,0,
__DODEBUG_PT__ -- __UCLIBC_HAS_THREADS_NATIVE__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __CONFIG_PENTIUMII__,0,0,0,0,0,
__CONFIG_CLASSIC__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_E500__ -- __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __TARGET_powerpc__,0,0,0,0,0,
__TARGET_mips__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_E500__ -- __UCLIBC_FORMAT_ELF__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __CONFIG_SH3__,0,0,0,0,0,
__CONFIG_K7__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__CONFIG_586__ -- __CONFIG_686__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __TARGET_i386__,0,0,0,0,0,
__HAVE_NO_SSP__ -- __LDSO_RUNPATH__,0,0,0,0,0,
__CONFIG_SPARC_V9__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_PENTIUMII__ -- __TARGET_nios2__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __HAVE_NO_SSP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_STDIO_SHUTDOWN_ON_ABORT__,0,0,0,0,0,
__CONFIG_386__ -- __TARGET_m68k__,0,0,0,0,0,
__CONFIG_H8300H__ -- __LDSO_PRELINK_SUPPORT__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32__ -- __TARGET_nios__,0,0,0,0,0,
__CONFIG_H8300H__ -- __SUPPORT_LD_DEBUG_EARLY__,0,0,0,0,0,
__TARGET_arm__ -- __TARGET_nios2__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_PREGENERATED_LOCALE_DATA__,0,0,0,0,0,
__TARGET_v850__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __TARGET_sh__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __CONFIG_TMS320C64X__,0,0,0,0,0,
__LDSO_SEARCH_INTERP_PATH__ -- __TARGET_i960__,0,0,0,0,0,
__HAVE_SHARED__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_CRIS__ -- __CONFIG_CRISV32__,0,0,0,0,0,
__CONFIG_H8S__ -- __SUPPORT_LD_DEBUG__,0,0,0,0,0,
__LDSO_RUNPATH__ -- __TARGET_v850__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_386__ -- __TARGET_avr32__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ -- __TARGET_e1__,0,0,0,0,0,
__UCLIBC_HAS_WCHAR__ -- __USE_OLD_VFPRINTF__,0,1,0,0,0,
__ARCH_ANY_ENDIAN__ -- __CONFIG_CLASSIC__,0,0,0,0,0,
__TARGET_alpha__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_SH2A__ -- __LINKRELAX__,0,0,0,0,0,
__UCLIBC_FORMAT_FDPIC_ELF__ -- __USE_BX__,0,0,0,0,0,
__CONFIG_WINCHIP2__ -- __TARGET_cris__,0,0,0,0,0,
__CONFIG_486__ -- __CONFIG_GENERIC_C6X__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__CONFIG_K6__ -- __TARGET_cris__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_STDIO_BUFSIZ_512__,0,0,0,0,0,
__CONFIG_686__ -- __CONFIG_WINCHIPC6__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_ARM_EABI__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__CONFIG_586MMX__ -- __CONFIG_SH2__,0,0,0,0,0,
__CONFIG_H8S__ -- __LINKRELAX__,0,0,0,0,0,
__TARGET_h8300__ -- __UCLIBC_STATIC_LDCONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __UCLIBC_FORMAT_DSBT_ELF__,0,0,0,0,0,
__SUPPORT_LD_DEBUG_EARLY__ -- __TARGET_h8300__,0,0,0,0,0,
__CONFIG_GENERIC_C6X__ -- __CONFIG_SH2__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ -- __TARGET_mips__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_vax__,0,0,0,0,0,
__TARGET_hppa__ -- __TARGET_sh64__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ -- __CONFIG_SPARC_V9__,0,0,0,0,0,
__CONFIG_586__ -- __TARGET_vax__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ -- __LDSO_LDD_SUPPORT__,0,0,0,0,0,
