Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded
__DOSTRIP__ => !(__DODEBUG__),,,,,,,,,,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__LINUXTHREADS_OLD__ => __UCLIBC_HAS_REALTIME__,,,,,,,,,,
__UCLIBC_FORMAT_SHARED_FLAT__ => !(__ARCH_USE_MMU__),,,,,,1,,1,1,
__UCLIBC_BUILD_RELRO__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_FORMAT_FLAT__ => __ARCH_HAS_NO_LDSO__,,,,,,,,,,
__UCLIBC_HAS_GNU_GLOB__ => __UCLIBC_HAS_GLOB__,,,,,,,1,1,1,
__ARCH_HAS_NO_MMU__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__ARCH_HAS_MMU__ => !(__ARCH_HAS_NO_MMU__),,,,,,,,,,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => !(__ARCH_USE_MMU__),,,,,,,,,,
__UCLIBC_HAS_SHA256_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,,,,,,1,,1,1,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_NETWORK_SUPPORT__,,,,,,,,,,
__SSP_QUICK_CANARY__ => __UCLIBC_HAS_SSP__,,,,,,1,,1,1,
__CONFIG_SH5__ => __UCLIBC_HAS_LFS__,,,,,,,,,,
__TARGET_alpha__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => __UCLIBC_HAS_FLOATS__,,,,,,,,,,
__TARGET_sparc__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_GETOPT_LONG__ => !(__UCLIBC_HAS_GNU_GETOPT__),,,,,,1,,1,1,
__TARGET_arm__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_STDIO_GETC_MACRO__ => !(__UCLIBC_HAS_STDIO_BUFSIZ_NONE__),,,1,,1,,,,1,
__UCLIBC_LINUX_MODULE_24__ => !(__TARGET_bfin__),,,,,,,,,,
__TARGET_bfin__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__CONFIG_CRISV32__ => __ARCH_HAS_MMU__,,,,,,,,,,
