in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_WCHAR__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __DOPIC__,0,0,0,0,0,
__UCLIBC_HAS_SOFT_FLOAT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_SH2__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__CONFIG_SH2A__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__CONFIG_SH5__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__CONFIG_586MMX__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_ISA_2__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_WCHAR__,0,0,0,0,0,
__DESIRED_TARGET_ARCH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_H8S__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__TARGET_i960__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_DYNAMIC_ATEXIT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_ELAN__,0,0,0,0,0,
__HAVE_NO_SSP__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ => __USE_BX__,0,0,0,0,0,
__TARGET_i386__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_REALTIME__,0,0,0,0,0,
__CONFIG_PENTIUMII__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUILTIN_BUFFER_8__,0,0,0,0,0,
__CONFIG_SH5__ => __UCLIBC_HAS_LFS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_ISA_1__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __DO_XSI_MATH__,0,0,0,0,0,
__PROPOLICE_BLOCK_SEGV__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_E500__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_GETPT__,0,0,0,0,0,
__PROPOLICE_BLOCK_ABRT__ => __UCLIBC_HAS_SSP__,0,0,0,0,0,
__CONFIG_586MMX__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_REGEX__,0,0,0,0,0,
__CONFIG_PENTIUM4__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_BUILD_MINIMAL_LOCALES__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_PENTIUM4__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__DODEBUG__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_586__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_SPARC_V9__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SCANF_GLIBC_A_FLAG__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_THREADS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,0,0,0,0,0,
__UCLIBC_HAS_FTS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_arm__,0,0,0,0,0,
__TARGET_nios2__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_nios2__,0,0,0,0,0,
__CONFIG_CRIS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LINUXTHREADS_NEW__,0,0,0,0,0,
__CONFIG_ELAN__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__CONFIG_SPARC_V9__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_c6x__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_BUFSIZ_8192__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__,0,0,0,0,0,
__CONFIG_SH3__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_SH2A__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_AUTO_RW_TRANSITION__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__RUNTIME_PREFIX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ => __TARGET_arm__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_GNU_GLOB__,0,0,0,0,0,
__UCLIBC_HAS_LIBRESOLV_STUB__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_GETC_MACRO__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_SPARC_V8__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_ADVANCED_REALTIME__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_TZ_CACHING__,0,0,0,0,0,
__TARGET_sh64__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_xtensa__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__CONFIG_K6__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_SUPPORT_AI_ADDRCONFIG__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_HAS_BSD_RES_CLOSE__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__CONFIG_SPARC_V9__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_1__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ASSUME_DEVPTS__,0,0,0,0,0,
__LINUXTHREADS_NEW__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_TZ_FILE_PATH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_EPOLL__,0,0,0,0,0,
__TARGET_h8300__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_HAS_IPV6__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__TARGET_frv__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__LDSO_LDD_SUPPORT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_686__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_WORDEXP__,0,0,0,0,0,
__TARGET_avr32__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__LINKRELAX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__ASSUME_DEVPTS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_IPV4__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__DO_XSI_MATH__ => __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__UCLIBC_HAS_GETPT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_TLS__ => __UCLIBC_HAS_THREADS_NATIVE__,0,0,0,0,0,
__TARGET_e1__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_frv__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__HAVE_NO_PIC__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CROSS_COMPILER_PREFIX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__HAVE_NO_SSP__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_HAS_SSP_COMPAT__ => __UCLIBC_HAS_SSP__,0,0,0,0,0,
__ARCH_WANTS_LITTLE_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__TARGET_alpha__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_SPARC_V8__,0,0,0,0,0,
__TARGET_bfin__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __KERNEL_HEADERS__,0,0,0,0,0,
__CONFIG_SH5__ => __TARGET_sh64__,0,0,0,0,0,
__HARDWIRED_ABSPATH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_SPARC_V7__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__TARGET_hppa__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_SPARC_V9__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_H8S__ => __TARGET_h8300__,0,0,0,0,0,
__UCLIBC_HAS_CTYPE_ENFORCED__ => __UCLIBC_HAS_CTYPE_TABLES__,1,0,0,0,0,
__CONFIG_CLASSIC__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_GETC_MACRO__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_K6__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_HAS_CRYPT_IMPL__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_WCHAR__,0,0,0,0,0,
__CONFIG_TMS320C64X__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_PUTC_MACRO__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CRIS__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_DSBT_ELF__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_HAS_CTYPE_SIGNED__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SSP_COMPAT__,0,0,0,0,0,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_GLOB__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STUBS__,0,0,0,0,0,
__TARGET_i960__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_BUILD_SSP__,0,0,0,0,0,
__CONFIG_SH2__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_486__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__SUPPORT_LD_DEBUG__ => __HAVE_SHARED__,0,0,0,0,0,
__UCLIBC_BUILD_NOW__ => __HAVE_SHARED__,0,0,0,0,0,
__TARGET_avr32__ => __CONFIG_AVR32_AP7__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_CTYPE_CHECKED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_PREGENERATED_LOCALE_DATA__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_IPV6__,0,0,0,0,0,
__UCLIBC_HAS_PROFILING__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_TMS320C64X__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __DEVEL_PREFIX__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_STANDALONE_SUPPORT__,0,0,0,0,0,
__UCLIBC_HAS_STUBS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_FUTEXES__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_O32_ABI__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_HAS_SHA256_CRYPT_IMPL__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_ADVANCED_REALTIME__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_SEARCH_INTERP_PATH__,0,0,0,0,0,
__CONFIG_SH2A__ => __HAVE_NO_PIC__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_GNU_HASH_SUPPORT__,0,0,0,0,0,
__CONFIG_SH4__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_TZ_FILE_PATH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_c6x__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_HAS_ARC4RANDOM__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_LINUX_MODULE_24__,0,0,0,0,0,
__UCLIBC_LINUX_MODULE_24__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __RUNTIME_PREFIX__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_UTMPX__,0,0,0,0,0,
__CONFIG_H8300H__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_FNMATCH_OLD__,0,0,0,0,0,
__UCLIBC_EXTRA_CFLAGS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_DSBT_ELF__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__TARGET_nios__ => __HAVE_NO_PIC__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_HAS_FULL_RPC__ => __UCLIBC_HAS_SOCKET__,0,0,0,0,0,
__CONFIG_MIPS_N64_ABI__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_H8300H__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STRING_ARCH_OPT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_RUNPATH__,0,0,0,0,0,
__CONFIG_386__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__TARGET_xtensa__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__PTHREADS_DEBUG_SUPPORT__ => __UCLIBC_HAS_THREADS__,1,0,0,1,0,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __UCLIBC_HAS_CTYPE_TABLES__,0,0,0,0,0,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __DO_C99_MATH__,0,0,0,0,0,
__TARGET_nios__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__LDSO_LD_LIBRARY_PATH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__DOSTRIP__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_x86_64__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_WCHAR__,0,0,0,0,0,
__CONFIG_SH2__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__LINUXTHREADS_OLD__ => __UCLIBC_HAS_THREADS__,1,0,0,0,0,
__UCLIBC_HAS_PRINTF_M_SPEC__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__DOPIC__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__HAVE_NO_PIC__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __DODEBUG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __MALLOC__,0,0,0,0,0,
__UCLIBC_HAS_SHA256_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS64__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__SSP_QUICK_CANARY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_e1__ => __ARCH_BIG_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_SHARED_FLAT__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__CONFIG_K6__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_hppa__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_E500__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ => __TARGET_c6x__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ => __TARGET_mips__,0,0,0,0,0,
__UCLIBC_BUILD_ALL_LOCALE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__LINUXTHREADS_OLD__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_alpha__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__CONFIG_CRUSOE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_arm__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__CONFIG_ELAN__ => __TARGET_i386__,0,0,0,0,0,
__WARNINGS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__DO_C99_MATH__ => __UCLIBC_HAS_FLOATS__,1,0,0,0,0,
__TARGET_nios2__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_XLOCALE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_GNU_ERROR__,0,0,0,0,0,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __MALLOC_SIMPLE__,0,0,0,0,0,
__UCLIBC_SUSV4_LEGACY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BSD_SPECIFIC__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_SUBARCH__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CLASSIC__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SOFT_FLOAT__,0,0,0,0,0,
__TARGET_i960__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__CONFIG_686__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_RPC__,0,0,0,0,0,
__TARGET_ia64__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_STATIC_LDCONFIG__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__ARCH_HAS_BWD_MEMCPY__ => __CONFIG_SH4__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __COMPILE_IN_THUMB_MODE__,0,0,0,0,0,
__CONFIG_PENTIUM4__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__TARGET_nios2__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_BUILD_NOEXECSTACK__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_TMS320C64XPLUS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __HARDWIRED_ABSPATH__,0,0,0,0,0,
__ARCH_HAS_NO_LDSO__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __HAVE_SHARED__,0,0,0,0,0,
__HAVE_NO_SSP__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__TARGET_bfin__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_ia64__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_GENERIC_386__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__CONFIG_CRUSOE__ => __TARGET_i386__,0,0,0,0,0,
__TARGET_nios__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __MALLOC_STANDARD__,0,0,0,0,0,
__CONFIG_PENTIUM4__ => __TARGET_i386__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_sparc__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_HAS_FENV__ => __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_CRYPT_IMPL__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_BUILD_MINIMAL_LOCALES__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_CTYPE_SIGNED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUILTIN_BUFFER_NONE__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_IPV4__,0,0,0,0,0,
__UCLIBC_HAS_SCANF_GLIBC_A_FLAG__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_PTY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__SUPPORT_LD_DEBUG_EARLY__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_MIPS_ISA_MIPS32__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_THREADS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_PENTIUM4__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_XATTR__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __SUPPORT_LD_DEBUG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __MULTILIB_DIR__,0,0,0,0,0,
__UCLIBC_HAS_IPV6__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_FOPEN_LARGEFILE_MODE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_SUSV3_LEGACY__,0,0,0,0,0,
__TARGET_mips__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_GRP_BUFFER_SIZE__,0,0,0,0,0,
__USE_BX__ => __TARGET_arm__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_BUILTIN_BUFFER_4__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_FUTEXES__ => __UCLIBC_HAS_THREADS__,0,0,0,0,0,
__UCLIBC_HAS_SYS_SIGLIST__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_REENTRANT_RPC__ => __UCLIBC_HAS_SOCKET__,0,1,0,0,0,
__TARGET_i386__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_bfin__,0,0,0,0,0,
__TARGET_sh64__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__CONFIG_SPARC_V7__ => __TARGET_sparc__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_TM_EXTENSIONS__,0,0,0,0,0,
__TARGET_v850__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__CONFIG_SH5__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
