in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__USE_BX__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_LFS__,0,0,0,0,0,
__UCLIBC_FORMAT_SHARED_FLAT__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__CONFIG_SPARC_V9B__ => __TARGET_sparc__,0,0,0,0,0,
__UCLIBC_HAS_STRING_GENERIC_OPT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_sh__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__TARGET_nios2__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_SH4__,0,0,0,0,0,
__CONFIG_K7__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__CONFIG_PENTIUMII__ => __TARGET_i386__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__DODEBUG_PT__ => __UCLIBC_HAS_THREADS__,0,0,0,1,0,
__TARGET_v850__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_SV4_DEPRECATED__,0,0,0,0,0,
__TARGET_bfin__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_SH5__,0,0,0,0,0,
__CONFIG_SPARC_V7__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_avr32__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_TZ_FILE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FALLBACK_TO_ETC_LOCALTIME__ => __UCLIBC_HAS_TZ_FILE__,0,0,0,1,0,
__UCLIBC_HAS_TZ_FILE_READ_MANY__ => __UCLIBC_HAS_TZ_FILE__,0,0,0,1,0,
__CONFIG_WINCHIPC6__ => __TARGET_i386__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __USE_OLD_VFPRINTF__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CROSS_COMPILER_PREFIX__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_FORMAT_FLAT__,0,0,0,0,0,
